Threads	Scale	NumSpheres	Timesteps	Total Time	Total Collisions	Wall Collisions	Sphere Collisions	Total Checks	Avg. Checks per Timestep	Avg. Timesteps per Second	Avg. Milliseconds per Timestep	Time Dilation	Total Threads
1	1	1	1920	0.0141139	121	121	0	11520	6	136036	0.00735101	2125.56	1	
1	1	2	1920	0.0119543	274	260	14	24960	13	160611	0.00622621	2509.55	1	
1	1	4	1920	0.0104913	493	477	16	57600	30	183009	0.0054642	2859.52	1	
1	1	8	1920	0.0125127	1118	940	178	145920	76	153445	0.00651701	2397.57	1	
1	1	16	1920	0.0164655	3207	2231	976	414720	216	116607	0.00857578	1821.99	1	
1	1	32	1920	0.0257747	8935	4987	3948	1320960	688	74491.7	0.0134243	1163.93	1	
1	1	64	1920	0.0689251	36858	14930	21928	4608000	2400	27856.3	0.0358985	435.255	1	
1	1	128	1920	0.235555	159787	45184	114603	17080320	8896	8150.96	0.122685	127.359	1	
1	1	256	1920	0.853676	760826	167197	593629	65617920	34176	2249.1	0.444623	35.1422	1	
1	1	512	1920	3.33991	3018394	411621	2606773	257064960	133888	574.865	1.73954	8.98227	1	
1	1	1024	1920	13.0519	9321276	933543	8387733	1017446400	529920	147.105	6.79788	2.29851	1	
1	1	2048	1920	50.8812	29623198	2253003	27370195	4048158720	2.10842e+06	37.735	26.5006	0.589609	1	
1	2	1	1920	0.0138787	72	72	0	11520	6	138341	0.00722851	2161.58	1	
1	2	2	1920	0.0116016	118	117	1	24960	13	165495	0.00604248	2585.86	1	
1	2	4	1920	0.0119134	303	301	2	57600	30	161163	0.00620488	2518.18	1	
1	2	8	1920	0.0133873	535	506	29	145920	76	143419	0.00697258	2240.92	1	
1	2	16	1920	0.0160683	1472	1331	141	414720	216	119490	0.00836889	1867.03	1	
1	2	32	1920	0.0261272	3079	2630	449	1320960	688	73486.5	0.0136079	1148.23	1	
1	2	64	1920	0.0685888	7531	5476	2055	4608000	2400	27992.9	0.0357233	437.389	1	
1	2	128	1920	0.222732	24865	13051	11814	17080320	8896	8620.24	0.116006	134.691	1	
1	2	256	1920	0.795954	110679	38313	72366	65617920	34176	2412.2	0.41456	37.6906	1	
1	2	512	1920	3.0933	477572	106237	371335	257064960	133888	620.696	1.61109	9.69837	1	
1	2	1024	1920	12.2644	1795069	276828	1518241	1017446400	529920	156.55	6.38773	2.44609	1	
1	2	2048	1920	48.555	7351035	778754	6572281	4048158720	2.10842e+06	39.5428	25.2891	0.617856	1	
1	4	1	1920	0.0138948	37	37	0	11520	6	138181	0.00723687	2159.08	1	
1	4	2	1920	0.0131634	78	78	0	24960	13	145859	0.00685594	2279.05	1	
1	4	4	1920	0.012324	218	218	0	57600	30	155794	0.00641872	2434.28	1	
1	4	8	1920	0.0130253	375	365	10	145920	76	147406	0.006784	2303.21	1	
1	4	16	1920	0.0170952	676	649	27	414720	216	112312	0.00890376	1754.88	1	
1	4	32	1920	0.0371687	1564	1482	82	1320960	688	51656.4	0.0193587	807.131	1	
1	4	64	1920	0.0684537	3202	2888	314	4608000	2400	28048.2	0.035653	438.253	1	
1	4	128	1920	0.223428	7418	6073	1345	17080320	8896	8593.37	0.116369	134.271	1	
1	4	256	1920	0.783757	19060	13305	5755	65617920	34176	2449.74	0.408207	38.2772	1	
1	4	512	1920	3.09885	68921	35639	33282	257064960	133888	619.586	1.61398	9.68102	1	
1	4	1024	1920	12.2739	306639	100732	205907	1017446400	529920	156.43	6.39264	2.44422	1	
1	4	2048	1920	48.7418	1492325	285083	1207242	4048158720	2.10842e+06	39.3913	25.3863	0.615488	1	
1	8	1	1920	0.0129494	20	20	0	11520	6	148269	0.0067445	2316.7	1	
1	8	2	1920	0.012515	46	46	0	24960	13	153416	0.00651822	2397.13	1	
1	8	4	1920	0.0117102	148	148	0	57600	30	163960	0.00609907	2561.87	1	
1	8	8	1920	0.0128273	243	241	2	145920	76	149681	0.00668088	2338.76	1	
1	8	16	1920	0.00819872	437	431	6	414720	216	234183	0.00427017	3659.11	1	
1	8	32	1920	0.0211152	917	903	14	1320960	688	90929.6	0.0109975	1420.77	1	
1	8	64	1920	0.0720674	1769	1711	58	4608000	2400	26641.7	0.0375351	416.277	1	
1	8	128	1920	0.226659	3827	3621	206	17080320	8896	8470.88	0.118051	132.358	1	
1	8	256	1920	0.802637	8055	7207	848	65617920	34176	2392.12	0.41804	37.3768	1	
1	8	512	1920	3.0795	18575	15000	3575	257064960	133888	623.477	1.60391	9.74184	1	
1	8	1024	1920	12.1459	47550	32491	15059	1017446400	529920	158.078	6.32598	2.46997	1	
1	8	2048	1920	48.2892	149923	78526	71397	4048158720	2.10842e+06	39.7605	25.1506	0.621257	1	
1	16	1	1920	0.0100723	11	11	0	11520	6	190621	0.00524601	2978.45	1	
1	16	2	1920	0.0115822	27	27	0	24960	13	165772	0.00603238	2590.19	1	
1	16	4	1920	0.0122697	105	105	0	57600	30	156483	0.00639047	2445.05	1	
1	16	8	1920	0.0153051	168	167	1	145920	76	125448	0.00797141	1960.13	1	
1	16	16	1920	0.0132439	280	279	1	414720	216	144973	0.00689784	2265.2	1	
1	16	32	1920	0.0316204	578	576	2	1320960	688	60720.3	0.0164689	948.755	1	
1	16	64	1920	0.0631786	1132	1122	10	4608000	2400	30390.1	0.0329055	474.845	1	
1	16	128	1920	0.220759	2292	2259	33	17080320	8896	8697.25	0.114979	135.895	1	
1	16	256	1920	0.829021	4838	4681	157	65617920	34176	2315.99	0.431782	36.1873	1	
1	16	512	1920	3.1207	9854	9303	551	257064960	133888	615.247	1.62536	9.61323	1	
1	16	1024	1920	12.0984	20462	18333	2129	1017446400	529920	158.698	6.30126	2.47966	1	
1	16	2048	1920	48.1605	48731	39103	9628	4048158720	2.10842e+06	39.8667	25.0836	0.622917	1	
1	32	1	1920	0.00774944	6	6	0	11520	6	247760	0.00403617	3871.25	1	
1	32	2	1920	0.0110911	15	15	0	24960	13	173111	0.00577664	2704.86	1	
1	32	4	1920	0.012012	69	69	0	57600	30	159841	0.00625623	2497.51	1	
1	32	8	1920	0.0158315	108	108	0	145920	76	121277	0.00824556	1894.96	1	
1	32	16	1920	0.0146393	178	178	0	414720	216	131154	0.00762463	2049.28	1	
1	32	32	1920	0.0219237	361	361	0	1320960	688	87576.6	0.0114186	1368.38	1	
1	32	64	1920	0.0623198	697	697	0	4608000	2400	30808.8	0.0324582	481.388	1	
1	32	128	1920	0.228761	1404	1399	5	17080320	8896	8393.03	0.119146	131.141	1	
1	32	256	1920	0.794939	2934	2916	18	65617920	34176	2415.28	0.414031	37.7388	1	
1	32	512	1920	3.06693	5917	5830	87	257064960	133888	626.034	1.59736	9.78178	1	
1	32	1024	1920	12.1116	12008	11699	309	1017446400	529920	158.526	6.30812	2.47697	1	
1	32	2048	1920	48.4069	25682	24194	1488	4048158720	2.10842e+06	39.6638	25.2119	0.619746	1	
1	64	1	1920	0.0125466	5	5	0	11520	6	153030	0.00653468	2391.09	1	
1	64	2	1920	0.0100193	10	10	0	24960	13	191631	0.00521837	2994.23	1	
1	64	4	1920	0.0126082	47	47	0	57600	30	152282	0.00656676	2379.41	1	
1	64	8	1920	0.0141547	72	72	0	145920	76	135644	0.00737225	2119.43	1	
1	64	16	1920	0.0161022	112	112	0	414720	216	119238	0.00838658	1863.1	1	
1	64	32	1920	0.0426039	233	233	0	1320960	688	45066.3	0.0221895	704.161	1	
1	64	64	1920	0.0780031	444	444	0	4608000	2400	24614.4	0.0406266	384.6	1	
1	64	128	1920	0.221073	879	878	1	17080320	8896	8684.92	0.115142	135.702	1	
1	64	256	1920	0.787122	1876	1873	3	65617920	34176	2439.27	0.409959	38.1135	1	
1	64	512	1920	3.0255	3638	3622	16	257064960	133888	634.606	1.57578	9.91572	1	
1	64	1024	1920	11.9844	7390	7338	52	1017446400	529920	160.209	6.24186	2.50326	1	
1	64	2048	1920	47.7138	15174	14976	198	4048158720	2.10842e+06	40.2399	24.8509	0.628749	1	
1	128	1	1920	0.00707798	2	2	0	11520	6	271264	0.00368645	4238.5	1	
1	128	2	1920	0.0114719	5	5	0	24960	13	167366	0.00597492	2615.1	1	
1	128	4	1920	0.0119022	30	30	0	57600	30	161314	0.00619908	2520.54	1	
1	128	8	1920	0.0129712	45	45	0	145920	76	148020	0.00675585	2312.81	1	
1	128	16	1920	0.0170948	71	71	0	414720	216	112315	0.00890354	1754.92	1	
1	128	32	1920	0.0274091	150	150	0	1320960	688	70049.7	0.0142756	1094.53	1	
1	128	64	1920	0.0739364	285	285	0	4608000	2400	25968.3	0.0385085	405.754	1	
1	128	128	1920	0.219861	549	548	1	17080320	8896	8732.77	0.114511	136.45	1	
1	128	256	1920	0.785007	1206	1204	2	65617920	34176	2445.84	0.408858	38.2162	1	
1	128	512	1920	3.01787	2340	2337	3	257064960	133888	636.211	1.57181	9.94079	1	
1	128	1024	1920	12.0095	4734	4726	8	1017446400	529920	159.873	6.25495	2.49802	1	
1	128	2048	1920	48.1896	9544	9524	20	4048158720	2.10842e+06	39.8426	25.0987	0.622541	1	
2	1	1	1920	0.0216747	121	121	0	11520	6	88582.6	0.0112889	1384.1	2	
2	1	2	1920	0.0220147	403	380	23	24960	13	87214.6	0.011466	1362.73	2	
2	1	4	1920	0.0231133	480	455	25	57600	30	83069.2	0.0120382	1297.96	2	
2	1	8	1920	0.0230815	1228	1054	174	145920	76	83183.4	0.0120216	1299.74	2	
2	1	16	1920	0.0251173	2969	2208	761	414720	216	76441.2	0.0130819	1194.39	2	
2	1	32	1920	0.0501403	9878	5413	4465	1320960	688	38292.6	0.0261147	598.321	2	
2	1	64	1920	0.116035	37182	14956	22226	4608000	2400	16546.7	0.0604351	258.542	2	
2	1	128	1920	0.213082	160000	45405	114595	17080320	8896	9010.61	0.11098	140.791	2	
2	1	256	1920	0.662608	729370	163895	565475	65617920	34176	2897.64	0.345109	45.2756	2	
2	1	512	1920	2.14903	3007542	413001	2594541	257064960	133888	893.427	1.11929	13.9598	2	
2	1	1024	1920	7.93111	9310362	934320	8376042	1017446400	529920	242.085	4.13079	3.78257	2	
2	1	2048	1920	31.987	29663027	2251077	27411950	4048158720	2.10842e+06	60.0244	16.6599	0.937882	2	
2	2	1	1920	0.0254065	72	72	0	11520	6	75571.2	0.0132325	1180.8	2	
2	2	2	1920	0.0202679	129	128	1	24960	13	94731.2	0.0105562	1480.18	2	
2	2	4	1920	0.0238784	311	305	6	57600	30	80407.3	0.0124367	1256.36	2	
2	2	8	1920	0.0249195	662	624	38	145920	76	77048.1	0.0129789	1203.88	2	
2	2	16	1920	0.020195	1335	1202	133	414720	216	95073.2	0.0105182	1485.52	2	
2	2	32	1920	0.0382066	2950	2382	568	1320960	688	50253.2	0.0198992	785.206	2	
2	2	64	1920	0.0811009	7108	5057	2051	4608000	2400	23674.2	0.0422401	369.91	2	
2	2	128	1920	0.251678	25572	13151	12421	17080320	8896	7628.81	0.131082	119.2	2	
2	2	256	1920	0.660591	111174	38863	72311	65617920	34176	2906.49	0.344058	45.4139	2	
2	2	512	1920	2.01932	483838	106326	377512	257064960	133888	950.813	1.05173	14.8565	2	
2	2	1024	1920	7.63043	1800649	275992	1524657	1017446400	529920	251.624	3.97418	3.93163	2	
2	2	2048	1920	30.0842	7345152	777223	6567929	4048158720	2.10842e+06	63.8208	15.6689	0.9972	2	
2	4	1	1920	0.0133455	37	37	0	11520	6	143869	0.00695079	2247.95	2	
2	4	2	1920	0.0247356	78	78	0	24960	13	77620.9	0.0128831	1212.83	2	
2	4	4	1920	0.0243569	218	218	0	57600	30	78827.8	0.0126859	1231.68	2	
2	4	8	1920	0.0206673	378	371	7	145920	76	92900.4	0.0107642	1451.57	2	
2	4	16	1920	0.0261856	744	719	25	414720	216	73322.6	0.0136384	1145.67	2	
2	4	32	1920	0.0467917	1524	1441	83	1320960	688	41032.9	0.0243707	641.139	2	
2	4	64	1920	0.0663378	3188	2894	294	4608000	2400	28942.8	0.0345509	452.231	2	
2	4	128	1920	0.223983	7531	6100	1431	17080320	8896	8572.1	0.116658	133.939	2	
2	4	256	1920	0.568329	18984	13201	5783	65617920	34176	3378.32	0.296005	52.7863	2	
2	4	512	1920	2.10122	68407	35393	33014	257064960	133888	913.755	1.09438	14.2774	2	
2	4	1024	1920	7.63906	308709	102031	206678	1017446400	529920	251.34	3.97868	3.92718	2	
2	4	2048	1920	29.8754	1486863	281375	1205488	4048158720	2.10842e+06	64.2669	15.5601	1.00417	2	
2	8	1	1920	0.0163838	20	20	0	11520	6	117189	0.00853322	1831.08	2	
2	8	2	1920	0.0165415	46	46	0	24960	13	116072	0.00861536	1813.62	2	
2	8	4	1920	0.0235013	148	148	0	57600	30	81697.5	0.0122403	1276.52	2	
2	8	8	1920	0.0231479	243	241	2	145920	76	82945	0.0120562	1296.01	2	
2	8	16	1920	0.0256396	435	429	6	414720	216	74884.3	0.0133539	1170.07	2	
2	8	32	1920	0.0337312	921	903	18	1320960	688	56920.5	0.0175684	889.383	2	
2	8	64	1920	0.0973312	1750	1689	61	4608000	2400	19726.5	0.0506933	308.226	2	
2	8	128	1920	0.360513	3743	3507	236	17080320	8896	5325.75	0.187767	83.2148	2	
2	8	256	1920	0.631528	8262	7299	963	65617920	34176	3040.25	0.328921	47.5039	2	
2	8	512	1920	1.91013	18831	15212	3619	257064960	133888	1005.17	0.994859	15.7057	2	
2	8	1024	1920	7.59824	46518	32170	14348	1017446400	529920	252.69	3.95742	3.94828	2	
2	8	2048	1920	29.7413	149771	77949	71822	4048158720	2.10842e+06	64.5567	15.4903	1.0087	2	
2	16	1	1920	0.0148755	11	11	0	11520	6	129072	0.00774764	2016.74	2	
2	16	2	1920	0.019384	27	27	0	24960	13	99050.7	0.0100958	1547.67	2	
2	16	4	1920	0.0273567	105	105	0	57600	30	70183.8	0.0142483	1096.62	2	
2	16	8	1920	0.0214353	172	170	2	145920	76	89571.8	0.0111642	1399.56	2	
2	16	16	1920	0.0165071	287	283	4	414720	216	116314	0.00859742	1817.41	2	
2	16	32	1920	0.0373078	577	574	3	1320960	688	51463.7	0.0194312	804.121	2	
2	16	64	1920	0.0779225	1133	1121	12	4608000	2400	24639.9	0.0405846	384.998	2	
2	16	128	1920	0.231755	2262	2229	33	17080320	8896	8284.61	0.120706	129.447	2	
2	16	256	1920	0.63169	4849	4698	151	65617920	34176	3039.47	0.329005	47.4917	2	
2	16	512	1920	1.98498	9770	9210	560	257064960	133888	967.263	1.03384	15.1135	2	
2	16	1024	1920	7.63477	20623	18461	2162	1017446400	529920	251.481	3.97644	3.92939	2	
2	16	2048	1920	29.8957	48618	38822	9796	4048158720	2.10842e+06	64.2233	15.5707	1.00349	2	
2	32	1	1920	0.0142769	6	6	0	11520	6	134483	0.00743586	2101.3	2	
2	32	2	1920	0.0176657	15	15	0	24960	13	108685	0.00920087	1698.21	2	
2	32	4	1920	0.0229799	69	69	0	57600	30	83551.3	0.0119687	1305.49	2	
2	32	8	1920	0.023029	108	108	0	145920	76	83373.1	0.0119943	1302.7	2	
2	32	16	1920	0.0222394	178	178	0	414720	216	86333.5	0.011583	1348.96	2	
2	32	32	1920	0.0244265	361	361	0	1320960	688	78603.2	0.0127221	1228.18	2	
2	32	64	1920	0.0948835	697	697	0	4608000	2400	20235.3	0.0494185	316.177	2	
2	32	128	1920	0.325397	1404	1399	5	17080320	8896	5900.48	0.169478	92.195	2	
2	32	256	1920	0.608943	2933	2918	15	65617920	34176	3153	0.317158	49.2657	2	
2	32	512	1920	2.08122	5923	5837	86	257064960	133888	922.535	1.08397	14.4146	2	
2	32	1024	1920	7.72316	12005	11693	312	1017446400	529920	248.603	4.02248	3.88442	2	
2	32	2048	1920	29.6191	25747	24260	1487	4048158720	2.10842e+06	64.823	15.4266	1.01286	2	
2	64	1	1920	0.020028	5	5	0	11520	6	95865.7	0.0104313	1497.9	2	
2	64	2	1920	0.0235839	10	10	0	24960	13	81411.3	0.0122833	1272.05	2	
2	64	4	1920	0.0231172	47	47	0	57600	30	83055	0.0120402	1297.73	2	
2	64	8	1920	0.0185076	72	72	0	145920	76	103741	0.00963935	1620.96	2	
2	64	16	1920	0.0251273	112	112	0	414720	216	76411	0.0130871	1193.92	2	
2	64	32	1920	0.0486684	233	233	0	1320960	688	39450.7	0.0253481	616.417	2	
2	64	64	1920	0.0577132	444	444	0	4608000	2400	33267.9	0.030059	519.811	2	
2	64	128	1920	0.325118	872	872	0	17080320	8896	5905.54	0.169332	92.2741	2	
2	64	256	1920	0.513391	1881	1877	4	65617920	34176	3739.84	0.267391	58.435	2	
2	64	512	1920	2.04686	3641	3624	17	257064960	133888	938.023	1.06607	14.6566	2	
2	64	1024	1920	7.40527	7390	7338	52	1017446400	529920	259.275	3.85691	4.05117	2	
2	64	2048	1920	29.3282	15171	14973	198	4048158720	2.10842e+06	65.4661	15.2751	1.02291	2	
2	128	1	1920	0.0134661	2	2	0	11520	6	142580	0.00701361	2227.81	2	
