Threads	Scale	NumSpheres	Timesteps	Total Time	Total Collisions	Wall Collisions	Sphere Collisions	Total Checks	Avg. Checks per Timestep	Avg. Timesteps per Second	Avg. Milliseconds per Timestep	Time Dilation	Total Threads
1	1	1	1920	0.00868925	121	121	0	1920	1	220963	0.00452565	3452.54	1	
1	1	2	1920	0.0123624	209	200	9	3840	2	155310	0.00643872	2426.72	1	
1	1	4	1920	0.0138553	468	441	27	7680	4	138575	0.00721631	2165.23	1	
1	1	8	1920	0.013918	977	851	126	15360	8	137951	0.00724894	2155.49	1	
1	1	16	1920	0.0179996	2603	1908	695	30720	16	106669	0.00937478	1666.71	1	
1	1	32	1920	0.0236336	6279	3912	2367	61440	32	81240.2	0.0123092	1269.38	1	
1	1	64	1920	0.0787963	22597	10678	11919	122880	64	24366.6	0.0410397	380.729	1	
1	1	128	1920	0.384365	91819	30228	61591	245760	128	4995.26	0.20019	78.0509	1	
1	1	256	1920	1.60284	305972	84912	221060	491520	256	1197.87	0.834814	18.7168	1	
1	1	512	1920	5.21427	746144	188918	557226	983040	512	368.22	2.71577	5.75344	1	
1	1	1024	1920	14.4128	1538400	390677	1147723	1966080	1024	133.215	7.50666	2.08149	1	
1	1	2048	1920	36.435	3038406	901980	2136426	3932160	2048	52.6966	18.9766	0.823384	1	
1	2	1	1920	0.00845125	72	72	0	1920	1	227185	0.00440169	3549.77	1	
1	2	2	1920	0.0115793	118	117	1	3840	2	165813	0.00603088	2590.83	1	
1	2	4	1920	0.0126561	296	294	2	7680	4	151705	0.00659174	2370.39	1	
1	2	8	1920	0.0127405	573	547	26	15360	8	150700	0.0066357	2354.69	1	
1	2	16	1920	0.0151994	1376	1229	147	30720	16	126321	0.00791635	1973.76	1	
1	2	32	1920	0.0238727	2690	2256	434	61440	32	80426.8	0.0124337	1256.67	1	
1	2	64	1920	0.0342007	6831	5165	1666	122880	64	56139.2	0.0178129	877.176	1	
1	2	128	1920	0.121539	19435	11428	8007	245760	128	15797.4	0.0633017	246.834	1	
1	2	256	1920	0.634819	70074	29134	40940	491520	256	3024.49	0.330635	47.2576	1	
1	2	512	1920	3.96451	277074	75055	202019	983040	512	484.297	2.06485	7.56715	1	
1	2	1024	1920	19.6927	988466	194651	793815	1966080	1024	97.4982	10.2566	1.52341	1	
1	2	2048	1920	69.6181	2673241	462650	2210591	3932160	2048	27.579	36.2594	0.430923	1	
1	4	1	1920	0.00819874	36	36	0	1920	1	234182	0.00427018	3659.1	1	
1	4	2	1920	0.00599399	77	77	0	3840	2	320321	0.00312187	5005.01	1	
1	4	4	1920	0.0119743	217	217	0	7680	4	160343	0.00623664	2505.36	1	
1	4	8	1920	0.0123243	407	397	10	15360	8	155790	0.00641891	2434.21	1	
1	4	16	1920	0.0134575	789	759	30	30720	16	142672	0.00700911	2229.24	1	
1	4	32	1920	0.0179028	1415	1346	69	61440	32	107246	0.00932438	1675.71	1	
1	4	64	1920	0.02367	3105	2798	307	122880	64	81115.2	0.0123281	1267.42	1	
1	4	128	1920	0.0484158	7182	5959	1223	245760	128	39656.5	0.0252166	619.633	1	
1	4	256	1920	0.200004	17471	12489	4982	491520	256	9599.79	0.104169	149.997	1	
1	4	512	1920	1.02027	50486	28312	22174	983040	512	1881.85	0.531392	29.4039	1	
1	4	1024	1920	6.70486	194227	77517	116710	1966080	1024	286.36	3.49211	4.47437	1	
1	4	2048	1920	47.7201	856707	209121	647586	3932160	2048	40.2346	24.8542	0.628666	1	
1	8	1	1920	0.00783729	20	20	0	1920	1	244983	0.00408192	3827.85	1	
1	8	2	1920	0.00512238	46	46	0	3840	2	374825	0.00266791	5856.65	1	
1	8	4	1920	0.00530561	148	148	0	7680	4	361881	0.00276334	5654.39	1	
1	8	8	1920	0.00579293	243	241	2	15360	8	331438	0.00301715	5178.72	1	
1	8	16	1920	0.00831673	437	432	5	30720	16	230860	0.00433163	3607.19	1	
1	8	32	1920	0.0145247	915	900	15	61440	32	132189	0.00756495	2065.45	1	
1	8	64	1920	0.0208138	1788	1741	47	122880	64	92246.4	0.0108405	1441.35	1	
1	8	128	1920	0.0259726	3565	3372	193	245760	128	73923.9	0.0135274	1155.06	1	
1	8	256	1920	0.0937448	7779	7049	730	491520	256	20481.1	0.0488254	320.018	1	
1	8	512	1920	0.356649	17919	14632	3287	983040	512	5383.45	0.185755	84.1164	1	
1	8	1024	1920	1.65996	43616	31111	12505	1966080	1024	1156.66	0.864562	18.0727	1	
1	8	2048	1920	9.75234	122838	67733	55105	3932160	2048	196.876	5.07934	3.07619	1	
1	16	1	1920	0.00937383	11	11	0	1920	1	204825	0.0048822	3200.4	1	
1	16	2	1920	0.0117708	27	27	0	3840	2	163116	0.00613062	2548.68	1	
1	16	4	1920	0.0124665	105	105	0	7680	4	154013	0.00649297	2406.45	1	
1	16	8	1920	0.0119688	168	167	1	15360	8	160418	0.00623373	2506.53	1	
1	16	16	1920	0.0127955	280	279	1	30720	16	150053	0.00666433	2344.57	1	
1	16	32	1920	0.0151966	578	576	2	61440	32	126344	0.00791492	1974.12	1	
1	16	64	1920	0.0159506	1130	1121	9	122880	64	120371	0.00830763	1880.8	1	
1	16	128	1920	0.0192478	2283	2251	32	245760	128	99751.6	0.0100249	1558.62	1	
1	16	256	1920	0.0632374	4855	4696	159	491520	256	30361.8	0.0329361	474.403	1	
1	16	512	1920	0.20945	9947	9368	579	983040	512	9166.87	0.109089	143.232	1	
1	16	1024	1920	0.727948	20062	18059	2003	1966080	1024	2637.55	0.379139	41.2118	1	
1	16	2048	1920	3.3051	45650	37309	8341	3932160	2048	580.92	1.72141	9.07688	1	
1	32	1	1920	0.00770333	6	6	0	1920	1	249243	0.00401215	3894.42	1	
1	32	2	1920	0.0115081	15	15	0	3840	2	166839	0.0059938	2606.86	1	
1	32	4	1920	0.0122456	69	69	0	7680	4	156791	0.00637793	2449.86	1	
1	32	8	1920	0.0118755	108	108	0	15360	8	161677	0.00618517	2526.2	1	
1	32	16	1920	0.0124712	178	178	0	30720	16	153954	0.00649544	2405.53	1	
1	32	32	1920	0.0145344	360	360	0	61440	32	132100	0.00757001	2064.07	1	
1	32	64	1920	0.0156621	696	696	0	122880	64	122589	0.00815734	1915.45	1	
1	32	128	1920	0.0144519	1400	1395	5	245760	128	132854	0.00752704	2075.85	1	
1	32	256	1920	0.0441678	2891	2873	18	491520	256	43470.6	0.0230041	679.228	1	
1	32	512	1920	0.144758	5859	5783	76	983040	512	13263.6	0.0753946	207.243	1	
1	32	1024	1920	0.47474	11928	11623	305	1966080	1024	4044.32	0.24726	63.1925	1	
1	32	2048	1920	1.90372	25321	23940	1381	3932160	2048	1008.55	0.991523	15.7586	1	
1	64	1	1920	0.0138491	5	5	0	1920	1	138637	0.00721306	2166.21	1	
1	64	2	1920	0.0116832	10	10	0	3840	2	164338	0.00608501	2567.78	1	
1	64	4	1920	0.0122266	47	47	0	7680	4	157035	0.00636801	2453.67	1	
1	64	8	1920	0.0123141	72	72	0	15360	8	155919	0.0064136	2436.23	1	
1	64	16	1920	0.0125962	112	112	0	30720	16	152427	0.00656052	2381.67	1	
1	64	32	1920	0.0138428	233	233	0	61440	32	138701	0.00720977	2167.2	1	
1	64	64	1920	0.0158416	444	444	0	122880	64	121200	0.00825083	1893.75	1	
1	64	128	1920	0.0310394	879	878	1	245760	128	61856.9	0.0161663	966.514	1	
1	64	256	1920	0.0414686	1876	1873	3	491520	256	46300	0.0215983	723.438	1	
1	64	512	1920	0.0999165	3640	3624	16	983040	512	19216.1	0.0520398	300.251	1	
1	64	1024	1920	0.328295	7399	7345	54	1966080	1024	5848.39	0.170987	91.3811	1	
1	64	2048	1920	1.14798	15208	15007	201	3932160	2048	1672.5	0.597907	26.1328	1	
1	128	1	1920	0.00624721	2	2	0	1920	1	307337	0.00325375	4802.15	1	
1	128	2	1920	0.00843491	5	5	0	3840	2	227626	0.00439318	3556.65	1	
1	128	4	1920	0.0121321	30	30	0	7680	4	158257	0.00631882	2472.77	1	
1	128	8	1920	0.012052	45	45	0	15360	8	159310	0.00627708	2489.21	1	
1	128	16	1920	0.0125949	71	71	0	30720	16	152442	0.00655986	2381.91	1	
1	128	32	1920	0.0140983	150	150	0	61440	32	136187	0.00734287	2127.91	1	
1	128	64	1920	0.0128553	285	285	0	122880	64	149354	0.00669549	2333.66	1	
1	128	128	1920	0.0103265	549	548	1	245760	128	185929	0.00537839	2905.14	1	
1	128	256	1920	0.0252101	1206	1204	2	491520	256	76159.9	0.0131303	1190	1	
1	128	512	1920	0.0717656	2340	2337	3	983040	512	26753.8	0.0373779	418.028	1	
1	128	1024	1920	0.233435	4734	4726	8	1966080	1024	8225	0.12158	128.516	1	
1	128	2048	1920	0.784211	9542	9522	20	3932160	2048	2448.32	0.408443	38.255	1	
2	1	1	1920	0.0281945	121	121	0	1920	1	68098.3	0.0146847	1064.04	2	
2	1	2	1920	0.0428959	216	212	4	3840	2	44759.5	0.0223416	699.367	2	
2	1	4	1920	0.0347834	447	422	25	7680	4	55198.7	0.0181164	862.48	2	
2	1	8	1920	0.0357279	1060	916	144	15360	8	53739.5	0.0186083	839.68	2	
2	1	16	1920	0.0395865	2464	1834	630	30720	16	48501.4	0.020618	757.834	2	
2	1	32	1920	0.0569704	6890	4176	2714	61440	32	33701.7	0.0296721	526.589	2	
2	1	64	1920	0.187941	22679	10459	12220	122880	64	10216	0.0978857	159.625	2	
2	1	128	1920	0.691027	91943	30229	61714	245760	128	2778.47	0.35991	43.4136	2	
2	1	256	1920	1.28905	306706	84265	222441	491520	256	1489.47	0.67138	23.273	2	
2	1	512	1920	3.01297	745411	188826	556585	983040	512	637.245	1.56926	9.95695	2	
2	1	1024	1920	8.58639	1540428	387795	1152633	1966080	1024	223.61	4.47208	3.4939	2	
2	1	2048	1920	22.951	3061388	910606	2150782	3932160	2048	83.6566	11.9536	1.30713	2	
2	2	1	1920	0.0347417	72	72	0	1920	1	55265	0.0180946	863.516	2	
2	2	2	1920	0.040931	118	117	1	3840	2	46908.2	0.0213182	732.941	2	
2	2	4	1920	0.0368983	296	294	2	7680	4	52034.9	0.0192179	813.046	2	
2	2	8	1920	0.0351717	574	547	27	15360	8	54589.3	0.0183186	852.958	2	
2	2	16	1920	0.0361204	1165	1066	99	30720	16	53155.5	0.0188127	830.555	2	
2	2	32	1920	0.046191	2709	2268	441	61440	32	41566.5	0.0240578	649.477	2	
2	2	64	1920	0.0731198	6700	4974	1726	122880	64	26258.3	0.0380832	410.286	2	
2	2	128	1920	0.26111	19418	11242	8176	245760	128	7353.23	0.135995	114.894	2	
2	2	256	1920	1.16925	69943	28742	41201	491520	256	1642.08	0.608983	25.6575	2	
2	2	512	1920	2.56928	281932	75345	206587	983040	512	747.29	1.33817	11.6764	2	
2	2	1024	1920	12.3373	988757	194341	794416	1966080	1024	155.626	6.42567	2.43165	2	
2	2	2048	1920	56.0467	2679132	464550	2214582	3932160	2048	34.2572	29.191	0.535268	2	
2	4	1	1920	0.0221697	36	36	0	1920	1	86604.6	0.0115467	1353.2	2	
2	4	2	1920	0.0281777	77	77	0	3840	2	68139	0.0146759	1064.67	2	
2	4	4	1920	0.0290853	217	217	0	7680	4	66012.7	0.0151486	1031.45	2	
2	4	8	1920	0.0223394	370	357	13	15360	8	85946.7	0.0116351	1342.92	2	
2	4	16	1920	0.0231484	768	744	24	30720	16	82943	0.0120565	1295.98	2	
2	4	32	1920	0.0260598	1465	1406	59	61440	32	73676.7	0.0135728	1151.2	2	
2	4	64	1920	0.03789	3364	3046	318	122880	64	50673	0.0197344	791.766	2	
2	4	128	1920	0.0661982	7162	5898	1264	245760	128	29003.8	0.0344782	453.184	2	
2	4	256	1920	0.266968	17509	12406	5103	491520	256	7191.88	0.139046	112.373	2	
2	4	512	1920	0.864934	51885	28703	23182	983040	512	2219.82	0.450486	34.6847	2	
2	4	1024	1920	4.49632	193400	75193	118207	1966080	1024	427.016	2.34183	6.67212	2	
2	4	2048	1920	30.5146	872525	209118	663407	3932160	2048	62.9208	15.893	0.983137	2	
2	8	1	1920	0.0195934	20	20	0	1920	1	97992.1	0.0102049	1531.13	2	
2	8	2	1920	0.023183	46	46	0	3840	2	82819.5	0.0120745	1294.05	2	
2	8	4	1920	0.0229338	148	148	0	7680	4	83719.2	0.0119447	1308.11	2	
2	8	8	1920	0.0248403	243	241	2	15360	8	77293.7	0.0129377	1207.71	2	
2	8	16	1920	0.0236253	435	430	5	30720	16	81268.8	0.0123048	1269.83	2	
2	8	32	1920	0.0259564	911	896	15	61440	32	73970.2	0.013519	1155.78	2	
2	8	64	1920	0.0269093	1729	1677	52	122880	64	71350.8	0.0140153	1114.86	2	
2	8	128	1920	0.0427241	3555	3355	200	245760	128	44939.5	0.0222522	702.179	2	
2	8	256	1920	0.114493	7798	7019	779	491520	256	16769.6	0.0596316	262.025	2	
2	8	512	1920	0.45143	18081	14823	3258	983040	512	4253.15	0.23512	66.4555	2	
2	8	1024	1920	1.60054	43008	30506	12502	1966080	1024	1199.59	0.833616	18.7437	2	
2	8	2048	1920	6.65601	123153	66602	56551	3932160	2048	288.461	3.46667	4.50721	2	
2	16	1	1920	0.0251204	11	11	0	1920	1	76431.8	0.0130836	1194.25	2	
2	16	2	1920	0.021459	27	27	0	3840	2	89472.8	0.0111766	1398.01	2	
2	16	4	1920	0.0228535	105	105	0	7680	4	84013.3	0.0119029	1312.71	2	
2	16	8	1920	0.0264881	168	167	1	15360	8	72485.3	0.0137959	1132.58	2	
2	16	16	1920	0.0297548	286	284	2	30720	16	64527.5	0.0154973	1008.24	2	
2	16	32	1920	0.0344513	578	576	2	61440	32	55730.8	0.0179434	870.794	2	
2	16	64	1920	0.0439987	1131	1122	9	122880	64	43637.6	0.022916	681.838	2	
2	16	128	1920	0.0649066	2291	2260	31	245760	128	29581	0.0338055	462.202	2	
2	16	256	1920	0.149035	4925	4774	151	491520	256	12882.9	0.0776225	201.295	2	
2	16	512	1920	0.475067	9703	9146	557	983040	512	4041.53	0.247431	63.1489	2	
2	16	1024	1920	0.769123	20313	18327	1986	1966080	1024	2496.35	0.400585	39.0055	2	
2	16	2048	1920	2.46093	45267	36877	8390	3932160	2048	780.194	1.28173	12.1905	2	
2	32	1	1920	0.0267906	6	6	0	1920	1	71666.8	0.0139535	1119.79	2	
