Threads	Scale	NumSpheres	Timesteps	Total Time	Total Collisions	Wall Collisions	Sphere Collisions	Total Checks	Avg. Checks per Timestep	Avg. Timesteps per Second	Avg. Milliseconds per Timestep	Time Dilation	Total Threads
1	1	1	1920	0.0144887	121	121	0	11520	6	132517	0.00754617	2070.59	1	
1	1	2	1920	0.0119834	274	260	14	24960	13	160221	0.00624138	2503.45	1	
1	1	4	1920	0.0124728	493	477	16	57600	30	153935	0.00649625	2405.23	1	
1	1	8	1920	0.0136127	1118	940	178	145920	76	141045	0.00708995	2203.82	1	
1	1	16	1920	0.0129874	3207	2231	976	414720	216	147836	0.00676426	2309.94	1	
1	1	32	1920	0.0178456	8935	4987	3948	1320960	688	107590	0.00929458	1681.09	1	
1	1	64	1920	0.0935429	36858	14930	21928	4608000	2400	20525.3	0.0487203	320.708	1	
1	1	128	1920	0.230475	159787	45184	114603	17080320	8896	8330.63	0.120039	130.166	1	
1	1	256	1920	0.81737	760826	167197	593629	65617920	34176	2349	0.425713	36.7031	1	
1	1	512	1920	3.19167	3018394	411621	2606773	257064960	133888	601.566	1.66233	9.39947	1	
1	1	1024	1920	12.419	9321276	933543	8387733	1017446400	529920	154.602	6.46824	2.41565	1	
1	1	2048	1920	49.1079	29623198	2253003	27370195	4048158720	2.10842e+06	39.0976	25.577	0.6109	1	
1	2	1	1920	0.0145781	72	72	0	11520	6	131704	0.00759278	2057.88	1	
1	2	2	1920	0.0119212	118	117	1	24960	13	161058	0.00620895	2516.53	1	
1	2	4	1920	0.0119898	303	301	2	57600	30	160136	0.00624471	2502.12	1	
1	2	8	1920	0.0133355	535	506	29	145920	76	143977	0.00694555	2249.64	1	
1	2	16	1920	0.0143887	1472	1331	141	414720	216	133438	0.0074941	2084.97	1	
1	2	32	1920	0.0373501	3079	2630	449	1320960	688	51405.5	0.0194532	803.212	1	
1	2	64	1920	0.0591919	7531	5476	2055	4608000	2400	32436.9	0.0308291	506.826	1	
1	2	128	1920	0.213918	24865	13051	11814	17080320	8896	8975.39	0.111416	140.24	1	
1	2	256	1920	0.772703	110679	38313	72366	65617920	34176	2484.78	0.40245	38.8247	1	
1	2	512	1920	3.01105	477572	106237	371335	257064960	133888	637.651	1.56825	9.9633	1	
1	2	1024	1920	11.9853	1795069	276828	1518241	1017446400	529920	160.197	6.24232	2.50308	1	
1	2	2048	1920	47.5809	7351035	778754	6572281	4048158720	2.10842e+06	40.3523	24.7817	0.630505	1	
1	4	1	1920	0.00743755	37	37	0	11520	6	258149	0.00387373	4033.58	1	
1	4	2	1920	0.00513168	78	78	0	24960	13	374146	0.00267275	5846.04	1	
1	4	4	1920	0.00532905	218	218	0	57600	30	360290	0.00277555	5629.52	1	
1	4	8	1920	0.00727349	375	365	10	145920	76	263972	0.00378828	4124.57	1	
1	4	16	1920	0.00755012	676	649	27	414720	216	254301	0.00393235	3973.45	1	
1	4	32	1920	0.0207802	1564	1482	82	1320960	688	92395.5	0.010823	1443.68	1	
1	4	64	1920	0.065972	3202	2888	314	4608000	2400	29103.2	0.0343604	454.738	1	
1	4	128	1920	0.215616	7418	6073	1345	17080320	8896	8904.71	0.1123	139.136	1	
1	4	256	1920	0.763661	19060	13305	5755	65617920	34176	2514.2	0.39774	39.2844	1	
1	4	512	1920	2.99356	68921	35639	33282	257064960	133888	641.377	1.55915	10.0215	1	
1	4	1024	1920	11.8625	306639	100732	205907	1017446400	529920	161.855	6.17838	2.52898	1	
1	4	2048	1920	47.0127	1492325	285083	1207242	4048158720	2.10842e+06	40.84	24.4858	0.638125	1	
1	8	1	1920	0.00565007	20	20	0	11520	6	339819	0.00294275	5309.66	1	
1	8	2	1920	0.00522941	46	46	0	24960	13	367154	0.00272365	5736.79	1	
1	8	4	1920	0.00526016	148	148	0	57600	30	365008	0.00273967	5703.25	1	
1	8	8	1920	0.00783538	243	241	2	145920	76	245042	0.00408093	3828.79	1	
1	8	16	1920	0.0125	437	431	6	414720	216	153600	0.0065104	2400.01	1	
1	8	32	1920	0.0247298	917	903	14	1320960	688	77639.2	0.0128801	1213.11	1	
1	8	64	1920	0.0589359	1769	1711	58	4608000	2400	32577.8	0.0306958	509.027	1	
1	8	128	1920	0.217127	3827	3621	206	17080320	8896	8842.76	0.113087	138.168	1	
1	8	256	1920	0.766417	8055	7207	848	65617920	34176	2505.16	0.399175	39.1432	1	
1	8	512	1920	2.99584	18575	15000	3575	257064960	133888	640.888	1.56033	10.0139	1	
1	8	1024	1920	11.7655	47550	32491	15059	1017446400	529920	163.189	6.12788	2.54982	1	
1	8	2048	1920	47.0576	149923	78526	71397	4048158720	2.10842e+06	40.8011	24.5092	0.637516	1	
1	16	1	1920	0.00885077	11	11	0	11520	6	216930	0.00460978	3389.54	1	
1	16	2	1920	0.0115658	27	27	0	24960	13	166007	0.00602384	2593.86	1	
1	16	4	1920	0.011872	105	105	0	57600	30	161725	0.00618332	2526.96	1	
1	16	8	1920	0.0128754	168	167	1	145920	76	149122	0.00670591	2330.03	1	
1	16	16	1920	0.0165654	280	279	1	414720	216	115904	0.00862782	1811	1	
1	16	32	1920	0.0287126	578	576	2	1320960	688	66869.6	0.0149545	1044.84	1	
1	16	64	1920	0.0622153	1132	1122	10	4608000	2400	30860.6	0.0324038	482.196	1	
1	16	128	1920	0.227736	2292	2259	33	17080320	8896	8430.8	0.118613	131.731	1	
1	16	256	1920	0.773915	4838	4681	157	65617920	34176	2480.89	0.403081	38.7639	1	
1	16	512	1920	3.01195	9854	9303	551	257064960	133888	637.461	1.56872	9.96033	1	
1	16	1024	1920	11.8301	20462	18333	2129	1017446400	529920	162.298	6.16152	2.5359	1	
1	16	2048	1920	46.9747	48731	39103	9628	4048158720	2.10842e+06	40.873	24.466	0.638641	1	
1	32	1	1920	0.00536333	6	6	0	11520	6	357986	0.0027934	5593.54	1	
1	32	2	1920	0.00550299	15	15	0	24960	13	348901	0.00286614	5451.58	1	
1	32	4	1920	0.00516177	69	69	0	57600	30	371966	0.00268842	5811.96	1	
1	32	8	1920	0.00770774	108	108	0	145920	76	249100	0.00401445	3892.19	1	
1	32	16	1920	0.0151959	178	178	0	414720	216	126350	0.00791454	1974.22	1	
1	32	32	1920	0.023293	361	361	0	1320960	688	82428.3	0.0121317	1287.94	1	
1	32	64	1920	0.0689625	697	697	0	4608000	2400	27841.2	0.035918	435.019	1	
1	32	128	1920	0.212856	1404	1399	5	17080320	8896	9020.17	0.110863	140.94	1	
1	32	256	1920	0.767262	2934	2916	18	65617920	34176	2502.41	0.399615	39.1001	1	
1	32	512	1920	2.97884	5917	5830	87	257064960	133888	644.547	1.55148	10.071	1	
1	32	1024	1920	11.9938	12008	11699	309	1017446400	529920	160.083	6.24678	2.50129	1	
1	32	2048	1920	48.3818	25682	24194	1488	4048158720	2.10842e+06	39.6843	25.1989	0.620067	1	
1	64	1	1920	0.00767098	5	5	0	11520	6	250294	0.0039953	3910.84	1	
1	64	2	1920	0.011645	10	10	0	24960	13	164877	0.00606513	2576.2	1	
1	64	4	1920	0.0125403	47	47	0	57600	30	153106	0.0065314	2392.29	1	
1	64	8	1920	0.0129808	72	72	0	145920	76	147911	0.00676081	2311.11	1	
1	64	16	1920	0.0154867	112	112	0	414720	216	123977	0.008066	1937.14	1	
1	64	32	1920	0.0282747	233	233	0	1320960	688	67905.2	0.0147264	1061.02	1	
1	64	64	1920	0.0588133	444	444	0	4608000	2400	32645.7	0.0306319	510.089	1	
1	64	128	1920	0.213758	879	878	1	17080320	8896	8982.13	0.111332	140.346	1	
1	64	256	1920	0.775222	1876	1873	3	65617920	34176	2476.71	0.403761	38.6986	1	
1	64	512	1920	2.98447	3638	3622	16	257064960	133888	643.331	1.55441	10.052	1	
1	64	1024	1920	11.8087	7390	7338	52	1017446400	529920	162.592	6.15036	2.5405	1	
1	64	2048	1920	47.0285	15174	14976	198	4048158720	2.10842e+06	40.8263	24.494	0.637912	1	
1	128	1	1920	0.0082277	2	2	0	11520	6	233358	0.00428526	3646.22	1	
1	128	2	1920	0.00861352	5	5	0	24960	13	222905	0.00448621	3482.9	1	
1	128	4	1920	0.0132048	30	30	0	57600	30	145402	0.0068775	2271.9	1	
1	128	8	1920	0.0166741	45	45	0	145920	76	115149	0.00868443	1799.2	1	
1	128	16	1920	0.0104286	71	71	0	414720	216	184109	0.00543157	2876.7	1	
1	128	32	1920	0.0184583	150	150	0	1320960	688	104018	0.00961369	1625.29	1	
1	128	64	1920	0.0636259	285	285	0	4608000	2400	30176.4	0.0331385	471.506	1	
1	128	128	1920	0.212282	549	548	1	17080320	8896	9044.57	0.110564	141.321	1	
1	128	256	1920	0.78373	1206	1204	2	65617920	34176	2449.82	0.408193	38.2785	1	
1	128	512	1920	3.04191	2340	2337	3	257064960	133888	631.183	1.58433	9.86224	1	
1	128	1024	1920	12.008	4734	4726	8	1017446400	529920	159.893	6.25419	2.49833	1	
1	128	2048	1920	48.2676	9544	9524	20	4048158720	2.10842e+06	39.7782	25.1394	0.621535	1	
