Threads	Scale	NumSpheres	Timesteps	Total Time	Total Collisions	Wall Collisions	Sphere Collisions	Total Checks	Avg. Checks per Timestep	Avg. Timesteps per Second	Avg. Milliseconds per Timestep	Time Dilation	Total Threads
1	32	4096	1920	207.752	54785	49057	5728	16149381120	8.41114e+06	9.2418	108.204	0.144403	1	
1	64	4096	1920	204.866	31572	30792	780	16149381120	8.41114e+06	9.37198	106.701	0.146437	1	
1	128	4096	1920	202.576	19877	19775	102	16149381120	8.41114e+06	9.47792	105.508	0.148093	1	
2	32	4096	1920	127.413	54707	48919	5788	16149381120	8.41114e+06	15.0691	66.3608	0.235455	2	
2	64	4096	1920	131.919	31548	30769	779	16149381120	8.41114e+06	14.5544	68.7079	0.227412	2	
2	128	4096	1920	134.941	19878	19775	103	16149381120	8.41114e+06	14.2285	70.2816	0.22232	2	
3	32	4096	1920	188.3	55030	49158	5872	16149381120	8.41114e+06	10.1965	98.0728	0.15932	3	
3	64	4096	1920	188.761	31565	30796	769	16149381120	8.41114e+06	10.1716	98.3131	0.158931	3	
3	128	4096	1920	173.986	19888	19781	107	16149381120	8.41114e+06	11.0354	90.6176	0.172428	3	
4	32	4096	1920	155.711	55182	49431	5751	16149381120	8.41114e+06	12.3305	81.0995	0.192665	4	
4	64	4096	1920	154.514	31648	30865	783	16149381120	8.41114e+06	12.4261	80.4759	0.194158	4	
4	128	4096	1920	142.517	19883	19779	104	16149381120	8.41114e+06	13.472	74.2278	0.210501	4	
5	32	4096	1920	141.95	54908	49106	5802	16149381120	8.41114e+06	13.5259	73.9322	0.211342	5	
5	64	4096	1920	132.713	31580	30809	771	16149381120	8.41114e+06	14.4673	69.1215	0.226051	5	
5	128	4096	1920	135.668	19855	19751	104	16149381120	8.41114e+06	14.1522	70.6604	0.221128	5	
6	32	4096	1920	128.405	54729	49018	5711	16149381120	8.41114e+06	14.9527	66.8777	0.233636	6	
6	64	4096	1920	129.079	31583	30801	782	16149381120	8.41114e+06	14.8746	67.2288	0.232415	6	
6	128	4096	1920	123.793	19899	19789	110	16149381120	8.41114e+06	15.5097	64.4757	0.242339	6	
7	32	4096	1920	119.817	55711	49947	5764	16149381120	8.41114e+06	16.0245	62.4045	0.250383	7	
7	64	4096	1920	120.903	31541	30768	773	16149381120	8.41114e+06	15.8805	62.9702	0.248133	7	
7	128	4096	1920	119.789	19877	19773	104	16149381120	8.41114e+06	16.0282	62.3898	0.250441	7	
8	32	4096	1920	116.728	54666	48800	5866	16149381120	8.41114e+06	16.4485	60.7958	0.257008	8	
8	64	4096	1920	119.293	31624	30862	762	16149381120	8.41114e+06	16.0949	62.1316	0.251482	8	
8	128	4096	1920	121.633	19891	19780	111	16149381120	8.41114e+06	15.7851	63.3507	0.246643	8	
